ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2020,"2020","23","Construction","true","true",227,58012.35242290749,49666.94794117469,369.9025750988171,12,"Library Science","25"
2020,"2020","5413","Architectural, engineering & related services","true","true",76,49341.59210526316,58324.06882934145,214.03334725464285,5,"Library Science","25"
2020,"2020","5415","Computer Systems Design","true","true",436,117911.01146788991,62104.172021064645,512.6457538631448,22,"Library Science","25"
2020,"2020","6111","Elementary & secondary schools","true","true",4381,53816.982424104084,10022.995751117252,1625.0059937238043,217,"Library Science","25"
2020,"2020","611M1","Colleges, universities & professional schools, including junior colleges","true","true",3071,63830.14425268642,15897.068912718307,1360.536407824559,148,"Library Science","25"
2019,"2019","23","Construction","true","true",212,60490.06603773585,64227.674015346216,357.472285454664,12,"Library Science","25"
2019,"2019","5415","Computer Systems Design","true","true",355,116221.7661971831,79131.28363883685,462.5816622868398,21,"Library Science","25"
2019,"2019","6111","Elementary & secondary schools","true","true",4635,53132.927939590074,9411.020827714123,1671.4477412785795,222,"Library Science","25"
2019,"2019","611M1","Colleges, universities & professional schools, including junior colleges","true","true",3203,59533.45894473931,15068.085897501454,1389.4678791163005,150,"Library Science","25"
2018,"2018","23","Construction","true","true",160,68546.725,80154.04618728117,310.5521290091016,9,"Library Science","25"
2018,"2018","5415","Computer Systems Design","true","true",414,111335.74879227053,66963.51668527517,499.54464830656013,24,"Library Science","25"
2018,"2018","6111","Elementary & secondary schools","true","true",4763,53665.754566449716,9285.40827468584,1694.3687511092928,237,"Library Science","25"
2018,"2018","611M1","Colleges, universities & professional schools, including junior colleges","true","true",3152,56966.21002538071,15468.678855402,1378.3615628688017,146,"Library Science","25"
2017,"2017","23","Construction","true","true",138,58902.99275362319,77857.2368576927,288.4125090563452,8,"Library Science","25"
2017,"2017","5415","Computer Systems Design","true","true",344,101851.36046511628,72638.81711876261,455.3585113703928,20,"Library Science","25"
2017,"2017","6111","Elementary & secondary schools","true","true",4731,52396.359332065105,8478.24642363069,1688.6671822293338,245,"Library Science","25"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",2935,52490.81908006814,13037.660150299405,1330.0695890120926,138,"Library Science","25"
2016,"2016","23","Construction","true","true",114,64454.21929824561,92283.29707015403,262.13620544294747,6,"Library Science","25"
2016,"2016","5415","Computer Systems Design","true","true",296,109263.13175675676,86483.6327331202,422.3963509337001,16,"Library Science","25"
2016,"2016","6111","Elementary & secondary schools","true","true",4919,52058.526326489125,8931.25439523972,1721.8907137730637,254,"Library Science","25"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",3017,49727.54292343387,13643.102341887825,1348.5211459976033,144,"Library Science","25"
2015,"2015","23","Construction","true","true",117,63828.982905982906,90369.14957748546,265.56296333440827,6,"Library Science","25"
2015,"2015","5415","Computer Systems Design","true","true",300,109537.88,73235.6265322296,425.2407895700584,15,"Library Science","25"
