ID Year,Year,State Tuition,University,ID University,Slug University
2020,"2020",18196,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2020,"2020",14588,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2020,"2020",5742,"San Jose State University","122755","san-jose-state-university"
2020,"2020",40170,"University of New Haven","129941","university-of-new-haven"
2020,"2020",38354,"Elmhurst College","144962","elmhurst-college"
2020,"2020",31396,"Alfred University","188641","alfred-university"
2020,"2020",6930,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2020,"2020",7716,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2019,"2019",17669,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2019,"2019",14807,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2019,"2019",5742,"San Jose State University","122755","san-jose-state-university"
2019,"2019",39000,"University of New Haven","129941","university-of-new-haven"
2019,"2019",37454,"Elmhurst College","144962","elmhurst-college"
2019,"2019",29635,"Alfred University","188641","alfred-university"
2019,"2019",6930,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2019,"2019",7716,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2018,"2018",17000,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2018,"2018",14734.5,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2018,"2018",5742,"San Jose State University","122755","san-jose-state-university"
2018,"2018",37870,"University of New Haven","129941","university-of-new-haven"
2018,"2018",36755,"Elmhurst College","144962","elmhurst-college"
2018,"2018",28198,"Alfred University","188641","alfred-university"
2018,"2018",6730,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2018,"2018",7716,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2017,"2017",16680,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2017,"2017",14728,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2017,"2017",5742,"San Jose State University","122755","san-jose-state-university"
2017,"2017",36770,"University of New Haven","129941","university-of-new-haven"
2017,"2017",36070,"Elmhurst College","144962","elmhurst-college"
2017,"2017",27124,"Alfred University","188641","alfred-university"
2017,"2017",6530,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2017,"2017",7492,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2016,"2016",17052,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2016,"2016",15800,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2016,"2016",5472,"San Jose State University","122755","san-jose-state-university"
2016,"2016",35700,"University of New Haven","129941","university-of-new-haven"
2016,"2016",35250,"Elmhurst College","144962","elmhurst-college"
2016,"2016",26108,"Alfred University","188641","alfred-university"
2016,"2016",6330,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2016,"2016",7238,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2015,"2015",17052,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2015,"2015",15242,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2015,"2015",5472,"San Jose State University","122755","san-jose-state-university"
2015,"2015",34330,"University of New Haven","129941","university-of-new-haven"
2015,"2015",34200,"Elmhurst College","144962","elmhurst-college"
2015,"2015",25291,"Alfred University","188641","alfred-university"
2015,"2015",6330,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2015,"2015",7060,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2014,"2014",16790,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2014,"2014",14670,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2014,"2014",5472,"San Jose State University","122755","san-jose-state-university"
2014,"2014",33330,"University of New Haven","129941","university-of-new-haven"
2014,"2014",33700,"Elmhurst College","144962","elmhurst-college"
2014,"2014",25156,"Alfred University","188641","alfred-university"
2014,"2014",6030,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2014,"2014",6820,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
2013,"2013",16076,"Masters Colleges and Universities","MAS","masters-colleges-and-universities"
2013,"2013",15300,"Masters Colleges & Universities: Larger Programs","18","masters-colleges-universities-larger-programs"
2013,"2013",5472,"San Jose State University","122755","san-jose-state-university"
2013,"2013",32440,"University of New Haven","129941","university-of-new-haven"
2013,"2013",32720,"Elmhurst College","144962","elmhurst-college"
2013,"2013",24372,"Alfred University","188641","alfred-university"
2013,"2013",5730,"CUNY Brooklyn College","190549","cuny-brooklyn-college"
2013,"2013",6622,"West Chester University of Pennsylvania","216764","west-chester-university-of-pennsylvania"
